root-keyword,root-num,keyword-raw,keyword,index,created
coloring,0,christmas coloring pages,christmas,4,1
coloring,0,halloween coloring pages,halloween,3,1
coloring,0,bobbie goods coloring book,bobbie goods,13200,1
coloring,0,kpop demon hunters coloring pages,kpop demon hunters,8800,1
coloring,0,coco wyo coloring books,coco wyo,6500,1
coloring,0,monday mandala coloring pages,monday mandala,5850,1
coloring,0,rainbow friends coloring pages,rainbow friends,5550,0
coloring,0,labubu coloring pages,labubu,4900,0
coloring,0,kuromi coloring pages,kuromi,3900,0
coloring,0,bluey coloring page,bluey,3300,0
coloring,0,squishmallow coloring pages,squishmallow,2850,0
coloring,0,axolotl coloring page,axolotl,2400,0
coloring,0,demon slayer coloring pages,demon slayer,1450,0
coloring,0,my melody coloring pages,my melody,1400,0
coloring,0,sanrio coloring pages,sanrio,1400,0
coloring,0,princess peach coloring page,princess peach,1050,0
coloring,0,reverse coloring book,reverse,850,0
coloring,0,hello kitty coloring page,hello kitty,850,0
coloring,0,taylor swift coloring page,taylor swift,750,0
coloring,0,cocomelon coloring pages,cocomelon,650,0
coloring,0,among us coloring page,among us,400,0
coloring,0,sonic coloring page,sonic,400,0
coloring,0,coloring pages for adults,adults,2,0
coloring,0,easter egg coloring pages,easter egg,80,0
coloring,0,leprechaun coloring page,leprechaun,70,0
coloring,0,st patricks coloring pages,st patricks,50,0
coloring,0,bluey coloring pages,bluey,3100,0
coloring,0,taylor swift coloring pages,taylor swift,700,0
